League contact sheet -- 250 members, past what a QR code can hold.

Member 001   (219) 555-0100
Member 002   (219) 555-0101
Member 003   (219) 555-0102
Member 004   (219) 555-0103
Member 005   (219) 555-0104
Member 006   (219) 555-0105
Member 007   (219) 555-0106
Member 008   (219) 555-0107
Member 009   (219) 555-0108
Member 010   (219) 555-0109
Member 011   (219) 555-0110
Member 012   (219) 555-0111
Member 013   (219) 555-0112
Member 014   (219) 555-0113
Member 015   (219) 555-0114
Member 016   (219) 555-0115
Member 017   (219) 555-0116
Member 018   (219) 555-0117
Member 019   (219) 555-0118
Member 020   (219) 555-0119
Member 021   (219) 555-0120
Member 022   (219) 555-0121
Member 023   (219) 555-0122
Member 024   (219) 555-0123
Member 025   (219) 555-0124
Member 026   (219) 555-0125
Member 027   (219) 555-0126
Member 028   (219) 555-0127
Member 029   (219) 555-0128
Member 030   (219) 555-0129
Member 031   (219) 555-0130
Member 032   (219) 555-0131
Member 033   (219) 555-0132
Member 034   (219) 555-0133
Member 035   (219) 555-0134
Member 036   (219) 555-0135
Member 037   (219) 555-0136
Member 038   (219) 555-0137
Member 039   (219) 555-0138
Member 040   (219) 555-0139
Member 041   (219) 555-0140
Member 042   (219) 555-0141
Member 043   (219) 555-0142
Member 044   (219) 555-0143
Member 045   (219) 555-0144
Member 046   (219) 555-0145
Member 047   (219) 555-0146
Member 048   (219) 555-0147
Member 049   (219) 555-0148
Member 050   (219) 555-0149
Member 051   (219) 555-0150
Member 052   (219) 555-0151
Member 053   (219) 555-0152
Member 054   (219) 555-0153
Member 055   (219) 555-0154
Member 056   (219) 555-0155
Member 057   (219) 555-0156
Member 058   (219) 555-0157
Member 059   (219) 555-0158
Member 060   (219) 555-0159
Member 061   (219) 555-0160
Member 062   (219) 555-0161
Member 063   (219) 555-0162
Member 064   (219) 555-0163
Member 065   (219) 555-0164
Member 066   (219) 555-0165
Member 067   (219) 555-0166
Member 068   (219) 555-0167
Member 069   (219) 555-0168
Member 070   (219) 555-0169
Member 071   (219) 555-0170
Member 072   (219) 555-0171
Member 073   (219) 555-0172
Member 074   (219) 555-0173
Member 075   (219) 555-0174
Member 076   (219) 555-0175
Member 077   (219) 555-0176
Member 078   (219) 555-0177
Member 079   (219) 555-0178
Member 080   (219) 555-0179
Member 081   (219) 555-0180
Member 082   (219) 555-0181
Member 083   (219) 555-0182
Member 084   (219) 555-0183
Member 085   (219) 555-0184
Member 086   (219) 555-0185
Member 087   (219) 555-0186
Member 088   (219) 555-0187
Member 089   (219) 555-0188
Member 090   (219) 555-0189
Member 091   (219) 555-0190
Member 092   (219) 555-0191
Member 093   (219) 555-0192
Member 094   (219) 555-0193
Member 095   (219) 555-0194
Member 096   (219) 555-0195
Member 097   (219) 555-0196
Member 098   (219) 555-0197
Member 099   (219) 555-0198
Member 100   (219) 555-0199
Member 101   (312) 555-0100
Member 102   (312) 555-0101
Member 103   (312) 555-0102
Member 104   (312) 555-0103
Member 105   (312) 555-0104
Member 106   (312) 555-0105
Member 107   (312) 555-0106
Member 108   (312) 555-0107
Member 109   (312) 555-0108
Member 110   (312) 555-0109
Member 111   (312) 555-0110
Member 112   (312) 555-0111
Member 113   (312) 555-0112
Member 114   (312) 555-0113
Member 115   (312) 555-0114
Member 116   (312) 555-0115
Member 117   (312) 555-0116
Member 118   (312) 555-0117
Member 119   (312) 555-0118
Member 120   (312) 555-0119
Member 121   (312) 555-0120
Member 122   (312) 555-0121
Member 123   (312) 555-0122
Member 124   (312) 555-0123
Member 125   (312) 555-0124
Member 126   (312) 555-0125
Member 127   (312) 555-0126
Member 128   (312) 555-0127
Member 129   (312) 555-0128
Member 130   (312) 555-0129
Member 131   (312) 555-0130
Member 132   (312) 555-0131
Member 133   (312) 555-0132
Member 134   (312) 555-0133
Member 135   (312) 555-0134
Member 136   (312) 555-0135
Member 137   (312) 555-0136
Member 138   (312) 555-0137
Member 139   (312) 555-0138
Member 140   (312) 555-0139
Member 141   (312) 555-0140
Member 142   (312) 555-0141
Member 143   (312) 555-0142
Member 144   (312) 555-0143
Member 145   (312) 555-0144
Member 146   (312) 555-0145
Member 147   (312) 555-0146
Member 148   (312) 555-0147
Member 149   (312) 555-0148
Member 150   (312) 555-0149
Member 151   (312) 555-0150
Member 152   (312) 555-0151
Member 153   (312) 555-0152
Member 154   (312) 555-0153
Member 155   (312) 555-0154
Member 156   (312) 555-0155
Member 157   (312) 555-0156
Member 158   (312) 555-0157
Member 159   (312) 555-0158
Member 160   (312) 555-0159
Member 161   (312) 555-0160
Member 162   (312) 555-0161
Member 163   (312) 555-0162
Member 164   (312) 555-0163
Member 165   (312) 555-0164
Member 166   (312) 555-0165
Member 167   (312) 555-0166
Member 168   (312) 555-0167
Member 169   (312) 555-0168
Member 170   (312) 555-0169
Member 171   (312) 555-0170
Member 172   (312) 555-0171
Member 173   (312) 555-0172
Member 174   (312) 555-0173
Member 175   (312) 555-0174
Member 176   (312) 555-0175
Member 177   (312) 555-0176
Member 178   (312) 555-0177
Member 179   (312) 555-0178
Member 180   (312) 555-0179
Member 181   (312) 555-0180
Member 182   (312) 555-0181
Member 183   (312) 555-0182
Member 184   (312) 555-0183
Member 185   (312) 555-0184
Member 186   (312) 555-0185
Member 187   (312) 555-0186
Member 188   (312) 555-0187
Member 189   (312) 555-0188
Member 190   (312) 555-0189
Member 191   (312) 555-0190
Member 192   (312) 555-0191
Member 193   (312) 555-0192
Member 194   (312) 555-0193
Member 195   (312) 555-0194
Member 196   (312) 555-0195
Member 197   (312) 555-0196
Member 198   (312) 555-0197
Member 199   (312) 555-0198
Member 200   (312) 555-0199
Member 201   (415) 555-0100
Member 202   (415) 555-0101
Member 203   (415) 555-0102
Member 204   (415) 555-0103
Member 205   (415) 555-0104
Member 206   (415) 555-0105
Member 207   (415) 555-0106
Member 208   (415) 555-0107
Member 209   (415) 555-0108
Member 210   (415) 555-0109
Member 211   (415) 555-0110
Member 212   (415) 555-0111
Member 213   (415) 555-0112
Member 214   (415) 555-0113
Member 215   (415) 555-0114
Member 216   (415) 555-0115
Member 217   (415) 555-0116
Member 218   (415) 555-0117
Member 219   (415) 555-0118
Member 220   (415) 555-0119
Member 221   (415) 555-0120
Member 222   (415) 555-0121
Member 223   (415) 555-0122
Member 224   (415) 555-0123
Member 225   (415) 555-0124
Member 226   (415) 555-0125
Member 227   (415) 555-0126
Member 228   (415) 555-0127
Member 229   (415) 555-0128
Member 230   (415) 555-0129
Member 231   (415) 555-0130
Member 232   (415) 555-0131
Member 233   (415) 555-0132
Member 234   (415) 555-0133
Member 235   (415) 555-0134
Member 236   (415) 555-0135
Member 237   (415) 555-0136
Member 238   (415) 555-0137
Member 239   (415) 555-0138
Member 240   (415) 555-0139
Member 241   (415) 555-0140
Member 242   (415) 555-0141
Member 243   (415) 555-0142
Member 244   (415) 555-0143
Member 245   (415) 555-0144
Member 246   (415) 555-0145
Member 247   (415) 555-0146
Member 248   (415) 555-0147
Member 249   (415) 555-0148
Member 250   (415) 555-0149

